Code localisation,Libellé localisation,id_dep,Libellé département,id_circo,codeCommune,Libellé commune,codeBV,codeBureauVote,bv_lib,Inscrits,Votants,% Votants,Abstentions,% Abstentions,Exprimés,% Exprimés/inscrits,% Exprimés/votants,Blancs,% Blancs/inscrits,% Blancs/votants,Nuls,% Nuls/inscrits,% Nuls/votants,indicateur,valeur
FE,France entière,78,Yvelines,78001,78646,Versailles,0021,78646_0021,Versailles - 0021,1622,1067,"65,78%",555,"34,22%",1064,"65,60%","99,72%",2,"0,12%","0,19%",1,"0,06%","0,09%",Nuance liste 1,LDIV
FE,France entière,78,Yvelines,78001,78646,Versailles,0022,78646_0022,Versailles - 0022,1562,920,"58,90%",642,"41,10%",912,"58,39%","99,13%",3,"0,19%","0,33%",5,"0,32%","0,54%",Nuance liste 1,LDIV
FE,France entière,78,Yvelines,78001,78646,Versailles,0023,78646_0023,Versailles - 0023,1434,1038,"72,38%",396,"27,62%",1032,"71,97%","99,42%",4,"0,28%","0,39%",2,"0,14%","0,19%",Nuance liste 1,LDIV
FE,France entière,78,Yvelines,78001,78646,Versailles,0024,78646_0024,Versailles - 0024,1469,1052,"71,61%",417,"28,39%",1050,"71,48%","99,81%",1,"0,07%","0,10%",1,"0,07%","0,10%",Nuance liste 1,LDIV
FE,France entière,78,Yvelines,78001,78646,Versailles,0025,78646_0025,Versailles - 0025,1633,1118,"68,46%",515,"31,54%",1117,"68,40%","99,91%",1,"0,06%","0,09%",0,"0,00%","0,00%",Nuance liste 1,LDIV
FE,France entière,78,Yvelines,78001,78646,Versailles,0026,78646_0026,Versailles - 0026,1380,940,"68,12%",440,"31,88%",933,"67,61%","99,26%",6,"0,43%","0,64%",1,"0,07%","0,11%",Nuance liste 1,LDIV
FE,France entière,78,Yvelines,78001,78646,Versailles,0027,78646_0027,Versailles - 0027,1514,1027,"67,83%",487,"32,17%",1023,"67,57%","99,61%",3,"0,20%","0,29%",1,"0,07%","0,10%",Nuance liste 1,LDIV
FE,France entière,78,Yvelines,78001,78646,Versailles,0028,78646_0028,Versailles - 0028,1604,1067,"66,52%",537,"33,48%",1064,"66,33%","99,72%",0,"0,00%","0,00%",3,"0,19%","0,28%",Nuance liste 1,LDIV
FE,France entière,78,Yvelines,78001,78646,Versailles,0029,78646_0029,Versailles - 0029,1401,763,"54,46%",638,"45,54%",754,"53,82%","98,82%",6,"0,43%","0,79%",3,"0,21%","0,39%",Nuance liste 1,LDIV
FE,France entière,78,Yvelines,78001,78646,Versailles,0030,78646_0030,Versailles - 0030,1452,994,"68,46%",458,"31,54%",990,"68,18%","99,60%",2,"0,14%","0,20%",2,"0,14%","0,20%",Nuance liste 1,LDIV
FE,France entière,78,Yvelines,78001,78646,Versailles,0031,78646_0031,Versailles - 0031,1589,600,"37,76%",989,"62,24%",578,"36,38%","96,33%",6,"0,38%","1,00%",16,"1,01%","2,67%",Nuance liste 1,LDIV
FE,France entière,78,Yvelines,78001,78646,Versailles,0032,78646_0032,Versailles - 0032,1551,1018,"65,64%",533,"34,36%",1007,"64,93%","98,92%",5,"0,32%","0,49%",6,"0,39%","0,59%",Nuance liste 1,LDIV
FE,France entière,78,Yvelines,78001,78646,Versailles,0033,78646_0033,Versailles - 0033,1247,631,"50,60%",616,"49,40%",623,"49,96%","98,73%",3,"0,24%","0,48%",5,"0,40%","0,79%",Nuance liste 1,LDIV
FE,France entière,78,Yvelines,78001,78646,Versailles,0034,78646_0034,Versailles - 0034,1493,986,"66,04%",507,"33,96%",975,"65,30%","98,88%",6,"0,40%","0,61%",5,"0,33%","0,51%",Nuance liste 1,LDIV
FE,France entière,78,Yvelines,78001,78646,Versailles,0035,78646_0035,Versailles - 0035,1632,1053,"64,52%",579,"35,48%",1050,"64,34%","99,72%",0,"0,00%","0,00%",3,"0,18%","0,28%",Nuance liste 1,LDIV
FE,France entière,78,Yvelines,78001,78646,Versailles,0036,78646_0036,Versailles - 0036,1565,997,"63,71%",568,"36,29%",985,"62,94%","98,80%",3,"0,19%","0,30%",9,"0,58%","0,90%",Nuance liste 1,LDIV
FE,France entière,78,Yvelines,78001,78646,Versailles,0037,78646_0037,Versailles - 0037,1316,930,"70,67%",386,"29,33%",923,"70,14%","99,25%",4,"0,30%","0,43%",3,"0,23%","0,32%",Nuance liste 1,LDIV
FE,France entière,78,Yvelines,78001,78646,Versailles,0038,78646_0038,Versailles - 0038,1408,959,"68,11%",449,"31,89%",955,"67,83%","99,58%",3,"0,21%","0,31%",1,"0,07%","0,10%",Nuance liste 1,LDIV
FE,France entière,78,Yvelines,78001,78646,Versailles,0039,78646_0039,Versailles - 0039,1448,1002,"69,20%",446,"30,80%",994,"68,65%","99,20%",6,"0,41%","0,60%",2,"0,14%","0,20%",Nuance liste 1,LDIV
FE,France entière,78,Yvelines,78001,78646,Versailles,0040,78646_0040,Versailles - 0040,1397,782,"55,98%",615,"44,02%",774,"55,40%","98,98%",4,"0,29%","0,51%",4,"0,29%","0,51%",Nuance liste 1,LDIV
FE,France entière,78,Yvelines,78001,78646,Versailles,0041,78646_0041,Versailles - 0041,1340,963,"71,87%",377,"28,13%",957,"71,42%","99,38%",3,"0,22%","0,31%",3,"0,22%","0,31%",Nuance liste 1,LDIV
FE,France entière,78,Yvelines,78001,78297,Guyancourt,0001,78297_0001,Guyancourt - 0001,1223,701,"57,32%",522,"42,68%",694,"56,75%","99,00%",4,"0,33%","0,57%",3,"0,25%","0,43%",Libellé abrégé de liste 1,HUMANITE SOUVERAINE
FE,France entière,78,Yvelines,78001,78297,Guyancourt,0002,78297_0002,Guyancourt - 0002,1071,525,"49,02%",546,"50,98%",513,"47,90%","97,71%",4,"0,37%","0,76%",8,"0,75%","1,52%",Libellé abrégé de liste 1,HUMANITE SOUVERAINE
FE,France entière,78,Yvelines,78001,78297,Guyancourt,0003,78297_0003,Guyancourt - 0003,1107,607,"54,83%",500,"45,17%",597,"53,93%","98,35%",8,"0,72%","1,32%",2,"0,18%","0,33%",Libellé abrégé de liste 1,HUMANITE SOUVERAINE
FE,France entière,78,Yvelines,78001,78297,Guyancourt,0004,78297_0004,Guyancourt - 0004,1259,616,"48,93%",643,"51,07%",606,"48,13%","98,38%",6,"0,48%","0,97%",4,"0,32%","0,65%",Libellé abrégé de liste 1,HUMANITE SOUVERAINE
FE,France entière,78,Yvelines,78001,78297,Guyancourt,0005,78297_0005,Guyancourt - 0005,1091,578,"52,98%",513,"47,02%",566,"51,88%","97,92%",5,"0,46%","0,87%",7,"0,64%","1,21%",Libellé abrégé de liste 1,HUMANITE SOUVERAINE
FE,France entière,78,Yvelines,78001,78297,Guyancourt,0006,78297_0006,Guyancourt - 0006,1216,631,"51,89%",585,"48,11%",617,"50,74%","97,78%",8,"0,66%","1,27%",6,"0,49%","0,95%",Libellé abrégé de liste 1,HUMANITE SOUVERAINE
FE,France entière,78,Yvelines,78001,78297,Guyancourt,0007,78297_0007,Guyancourt - 0007,1240,645,"52,02%",595,"47,98%",626,"50,48%","97,05%",11,"0,89%","1,71%",8,"0,65%","1,24%",Libellé abrégé de liste 1,HUMANITE SOUVERAINE
FE,France entière,78,Yvelines,78001,78297,Guyancourt,0008,78297_0008,Guyancourt - 0008,1102,518,"47,01%",584,"52,99%",502,"45,55%","96,91%",8,"0,73%","1,54%",8,"0,73%","1,54%",Libellé abrégé de liste 1,HUMANITE SOUVERAINE
FE,France entière,78,Yvelines,78001,78297,Guyancourt,0009,78297_0009,Guyancourt - 0009,1121,664,"59,23%",457,"40,77%",651,"58,07%","98,04%",8,"0,71%","1,20%",5,"0,45%","0,75%",Libellé abrégé de liste 1,HUMANITE SOUVERAINE
FE,France entière,78,Yvelines,78001,78297,Guyancourt,0010,78297_0010,Guyancourt - 0010,1314,709,"53,96%",605,"46,04%",690,"52,51%","97,32%",14,"1,07%","1,97%",5,"0,38%","0,71%",Libellé abrégé de liste 1,HUMANITE SOUVERAINE
FE,France entière,78,Yvelines,78001,78297,Guyancourt,0011,78297_0011,Guyancourt - 0011,1318,644,"48,86%",674,"51,14%",631,"47,88%","97,98%",7,"0,53%","1,09%",6,"0,46%","0,93%",Libellé abrégé de liste 1,HUMANITE SOUVERAINE
FE,France entière,78,Yvelines,78001,78297,Guyancourt,0012,78297_0012,Guyancourt - 0012,1398,737,"52,72%",661,"47,28%",726,"51,93%","98,51%",5,"0,36%","0,68%",6,"0,43%","0,81%",Libellé abrégé de liste 1,HUMANITE SOUVERAINE
FE,France entière,78,Yvelines,78001,78297,Guyancourt,0013,78297_0013,Guyancourt - 0013,1122,568,"50,62%",554,"49,38%",556,"49,55%","97,89%",7,"0,62%","1,23%",5,"0,45%","0,88%",Libellé abrégé de liste 1,HUMANITE SOUVERAINE
FE,France entière,78,Yvelines,78001,78297,Guyancourt,0014,78297_0014,Guyancourt - 0014,1242,630,"50,72%",612,"49,28%",615,"49,52%","97,62%",10,"0,81%","1,59%",5,"0,40%","0,79%",Libellé abrégé de liste 1,HUMANITE SOUVERAINE
FE,France entière,78,Yvelines,78001,78297,Guyancourt,0015,78297_0015,Guyancourt - 0015,1140,625,"54,82%",515,"45,18%",613,"53,77%","98,08%",7,"0,61%","1,12%",5,"0,44%","0,80%",Libellé abrégé de liste 1,HUMANITE SOUVERAINE
FE,France entière,78,Yvelines,78001,78423,Montigny-le-Bretonneux,0001,78423_0001,Montigny-le-Bretonneux - 0001,1385,820,"59,21%",565,"40,79%",809,"58,41%","98,66%",8,"0,58%","0,98%",3,"0,22%","0,37%",Libellé abrégé de liste 1,HUMANITE SOUVERAINE
FE,France entière,78,Yvelines,78001,78423,Montigny-le-Bretonneux,0002,78423_0002,Montigny-le-Bretonneux - 0002,1154,719,"62,31%",435,"37,69%",714,"61,87%","99,30%",2,"0,17%","0,28%",3,"0,26%","0,42%",Libellé abrégé de liste 1,HUMANITE SOUVERAINE
FE,France entière,78,Yvelines,78001,78423,Montigny-le-Bretonneux,0003,78423_0003,Montigny-le-Bretonneux - 0003,1150,735,"63,91%",415,"36,09%",727,"63,22%","98,91%",4,"0,35%","0,54%",4,"0,35%","0,54%",Libellé abrégé de liste 1,HUMANITE SOUVERAINE
FE,France entière,78,Yvelines,78001,78423,Montigny-le-Bretonneux,0004,78423_0004,Montigny-le-Bretonneux - 0004,1239,644,"51,98%",595,"48,02%",631,"50,93%","97,98%",5,"0,40%","0,78%",8,"0,65%","1,24%",Libellé abrégé de liste 1,HUMANITE SOUVERAINE
FE,France entière,78,Yvelines,78001,78423,Montigny-le-Bretonneux,0005,78423_0005,Montigny-le-Bretonneux - 0005,1269,600,"47,28%",669,"52,72%",582,"45,86%","97,00%",10,"0,79%","1,67%",8,"0,63%","1,33%",Libellé abrégé de liste 1,HUMANITE SOUVERAINE
FE,France entière,78,Yvelines,78001,78423,Montigny-le-Bretonneux,0006,78423_0006,Montigny-le-Bretonneux - 0006,1632,867,"53,13%",765,"46,88%",852,"52,21%","98,27%",11,"0,67%","1,27%",4,"0,25%","0,46%",Libellé abrégé de liste 1,HUMANITE SOUVERAINE
FE,France entière,78,Yvelines,78001,78423,Montigny-le-Bretonneux,0007,78423_0007,Montigny-le-Bretonneux - 0007,1357,705,"51,95%",652,"48,05%",693,"51,07%","98,30%",5,"0,37%","0,71%",7,"0,52%","0,99%",Libellé abrégé de liste 1,HUMANITE SOUVERAINE
FE,France entière,78,Yvelines,78001,78423,Montigny-le-Bretonneux,0008,78423_0008,Montigny-le-Bretonneux - 0008,1342,880,"65,57%",462,"34,43%",870,"64,83%","98,86%",7,"0,52%","0,80%",3,"0,22%","0,34%",Libellé abrégé de liste 1,HUMANITE SOUVERAINE
FE,France entière,78,Yvelines,78001,78423,Montigny-le-Bretonneux,0009,78423_0009,Montigny-le-Bretonneux - 0009,1432,781,"54,54%",651,"45,46%",775,"54,12%","99,23%",4,"0,28%","0,51%",2,"0,14%","0,26%",Libellé abrégé de liste 1,HUMANITE SOUVERAINE
