codeDepartement,Libellé département,Inscrits,Votants,% Votants,Abstentions,% Abstentions,Exprimés,% Exprimés/inscrits,% Exprimés/votants,Blancs,% Blancs/inscrits,% Blancs/votants,Nuls,% Nuls/inscrits,% Nuls/votants,indicateur,valeur
78,Yvelines,984280,549783,"55,86%",434497,"44,14%",540712,"54,93%","98,35%",4958,"0,50%","0,90%",4113,"0,42%","0,75%",Numéro de panneau 8,8
78,Yvelines,984280,549783,"55,86%",434497,"44,14%",540712,"54,93%","98,35%",4958,"0,50%","0,90%",4113,"0,42%","0,75%",Nuance liste 8,LDIV
78,Yvelines,984280,549783,"55,86%",434497,"44,14%",540712,"54,93%","98,35%",4958,"0,50%","0,90%",4113,"0,42%","0,75%",Libellé abrégé de liste 8,PARTI ANIMALISTE
78,Yvelines,984280,549783,"55,86%",434497,"44,14%",540712,"54,93%","98,35%",4958,"0,50%","0,90%",4113,"0,42%","0,75%",Libellé de liste 8,"PARTI ANIMALISTE - LES ANIMAUX COMPTENT, VOTRE VOIX AUSSI"
78,Yvelines,984280,549783,"55,86%",434497,"44,14%",540712,"54,93%","98,35%",4958,"0,50%","0,90%",4113,"0,42%","0,75%",Voix 8,10308
78,Yvelines,984280,549783,"55,86%",434497,"44,14%",540712,"54,93%","98,35%",4958,"0,50%","0,90%",4113,"0,42%","0,75%",% Voix/inscrits 8,"1,05%"
78,Yvelines,984280,549783,"55,86%",434497,"44,14%",540712,"54,93%","98,35%",4958,"0,50%","0,90%",4113,"0,42%","0,75%",% Voix/exprimés 8,"1,91%"
78,Yvelines,984280,549783,"55,86%",434497,"44,14%",540712,"54,93%","98,35%",4958,"0,50%","0,90%",4113,"0,42%","0,75%",Sièges 8,0
78,Yvelines,984280,549783,"55,86%",434497,"44,14%",540712,"54,93%","98,35%",4958,"0,50%","0,90%",4113,"0,42%","0,75%",Numéro de panneau 9,9
78,Yvelines,984280,549783,"55,86%",434497,"44,14%",540712,"54,93%","98,35%",4958,"0,50%","0,90%",4113,"0,42%","0,75%",Nuance liste 9,LEXG
78,Yvelines,984280,549783,"55,86%",434497,"44,14%",540712,"54,93%","98,35%",4958,"0,50%","0,90%",4113,"0,42%","0,75%",Libellé abrégé de liste 9,PARTI REVOLUTIONNAIRE COMMUNISTES
78,Yvelines,984280,549783,"55,86%",434497,"44,14%",540712,"54,93%","98,35%",4958,"0,50%","0,90%",4113,"0,42%","0,75%",Libellé de liste 9,PARTI REVOLUTIONNAIRE COMMUNISTES
78,Yvelines,984280,549783,"55,86%",434497,"44,14%",540712,"54,93%","98,35%",4958,"0,50%","0,90%",4113,"0,42%","0,75%",Voix 9,49
78,Yvelines,984280,549783,"55,86%",434497,"44,14%",540712,"54,93%","98,35%",4958,"0,50%","0,90%",4113,"0,42%","0,75%",% Voix/inscrits 9,"0,00%"
