id_dep,libDep,id_circo,libCirco,Inscrits,Votants,% Votants,Abstentions,% Abstentions,Exprimés,% Exprimés/inscrits,% Exprimés/votants,Blancs,% Blancs/inscrits,% Blancs/votants,Nuls,% Nuls/inscrits,% Nuls/votants,indicateur,valeur
2A,Corse-du-Sud,2A002,2ème circonscription,62495,39621,"63,40%",22874,"36,60%",38807,"62,10%","97,95%",470,"0,75%","1,19%",344,"0,55%","0,87%",% Voix/exprimés 5,"35,10%"
2A,Corse-du-Sud,2A001,1ère circonscription,52490,33839,"64,47%",18651,"35,53%",33259,"63,36%","98,29%",370,"0,70%","1,09%",210,"0,40%","0,62%",Elu 5,
2A,Corse-du-Sud,2A002,2ème circonscription,62495,39621,"63,40%",22874,"36,60%",38807,"62,10%","97,95%",470,"0,75%","1,19%",344,"0,55%","0,87%",Elu 5,
2A,Corse-du-Sud,2A001,1ère circonscription,52490,33839,"64,47%",18651,"35,53%",33259,"63,36%","98,29%",370,"0,70%","1,09%",210,"0,40%","0,62%",Numéro de panneau 6,6.0
2A,Corse-du-Sud,2A002,2ème circonscription,62495,39621,"63,40%",22874,"36,60%",38807,"62,10%","97,95%",470,"0,75%","1,19%",344,"0,55%","0,87%",Numéro de panneau 6,6.0
2A,Corse-du-Sud,2A001,1ère circonscription,52490,33839,"64,47%",18651,"35,53%",33259,"63,36%","98,29%",370,"0,70%","1,09%",210,"0,40%","0,62%",Nuance candidat 6,REG
2A,Corse-du-Sud,2A002,2ème circonscription,62495,39621,"63,40%",22874,"36,60%",38807,"62,10%","97,95%",470,"0,75%","1,19%",344,"0,55%","0,87%",Nuance candidat 6,DVD
2A,Corse-du-Sud,2A001,1ère circonscription,52490,33839,"64,47%",18651,"35,53%",33259,"63,36%","98,29%",370,"0,70%","1,09%",210,"0,40%","0,62%",Nom candidat 6,DOMINICI
2A,Corse-du-Sud,2A002,2ème circonscription,62495,39621,"63,40%",22874,"36,60%",38807,"62,10%","97,95%",470,"0,75%","1,19%",344,"0,55%","0,87%",Nom candidat 6,BOZZI
2A,Corse-du-Sud,2A001,1ère circonscription,52490,33839,"64,47%",18651,"35,53%",33259,"63,36%","98,29%",370,"0,70%","1,09%",210,"0,40%","0,62%",Prénom candidat 6,Emmanuelle
2A,Corse-du-Sud,2A002,2ème circonscription,62495,39621,"63,40%",22874,"36,60%",38807,"62,10%","97,95%",470,"0,75%","1,19%",344,"0,55%","0,87%",Prénom candidat 6,Valérie
2A,Corse-du-Sud,2A001,1ère circonscription,52490,33839,"64,47%",18651,"35,53%",33259,"63,36%","98,29%",370,"0,70%","1,09%",210,"0,40%","0,62%",Sexe candidat 6,FEMININ
2A,Corse-du-Sud,2A002,2ème circonscription,62495,39621,"63,40%",22874,"36,60%",38807,"62,10%","97,95%",470,"0,75%","1,19%",344,"0,55%","0,87%",Sexe candidat 6,FEMININ
2A,Corse-du-Sud,2A001,1ère circonscription,52490,33839,"64,47%",18651,"35,53%",33259,"63,36%","98,29%",370,"0,70%","1,09%",210,"0,40%","0,62%",Voix 6,1533.0
2A,Corse-du-Sud,2A002,2ème circonscription,62495,39621,"63,40%",22874,"36,60%",38807,"62,10%","97,95%",470,"0,75%","1,19%",344,"0,55%","0,87%",Voix 6,6538.0
2A,Corse-du-Sud,2A001,1ère circonscription,52490,33839,"64,47%",18651,"35,53%",33259,"63,36%","98,29%",370,"0,70%","1,09%",210,"0,40%","0,62%",% Voix/inscrits 6,"2,92%"
2A,Corse-du-Sud,2A002,2ème circonscription,62495,39621,"63,40%",22874,"36,60%",38807,"62,10%","97,95%",470,"0,75%","1,19%",344,"0,55%","0,87%",% Voix/inscrits 6,"10,46%"
2A,Corse-du-Sud,2A001,1ère circonscription,52490,33839,"64,47%",18651,"35,53%",33259,"63,36%","98,29%",370,"0,70%","1,09%",210,"0,40%","0,62%",% Voix/exprimés 6,"4,61%"
2A,Corse-du-Sud,2A002,2ème circonscription,62495,39621,"63,40%",22874,"36,60%",38807,"62,10%","97,95%",470,"0,75%","1,19%",344,"0,55%","0,87%",% Voix/exprimés 6,"16,85%"
2A,Corse-du-Sud,2A001,1ère circonscription,52490,33839,"64,47%",18651,"35,53%",33259,"63,36%","98,29%",370,"0,70%","1,09%",210,"0,40%","0,62%",Elu 6,
2A,Corse-du-Sud,2A002,2ème circonscription,62495,39621,"63,40%",22874,"36,60%",38807,"62,10%","97,95%",470,"0,75%","1,19%",344,"0,55%","0,87%",Elu 6,
2A,Corse-du-Sud,2A001,1ère circonscription,52490,33839,"64,47%",18651,"35,53%",33259,"63,36%","98,29%",370,"0,70%","1,09%",210,"0,40%","0,62%",Numéro de panneau 7,7.0
2A,Corse-du-Sud,2A002,2ème circonscription,62495,39621,"63,40%",22874,"36,60%",38807,"62,10%","97,95%",470,"0,75%","1,19%",344,"0,55%","0,87%",Numéro de panneau 7,
2A,Corse-du-Sud,2A001,1ère circonscription,52490,33839,"64,47%",18651,"35,53%",33259,"63,36%","98,29%",370,"0,70%","1,09%",210,"0,40%","0,62%",Nuance candidat 7,ENS
2A,Corse-du-Sud,2A002,2ème circonscription,62495,39621,"63,40%",22874,"36,60%",38807,"62,10%","97,95%",470,"0,75%","1,19%",344,"0,55%","0,87%",Nuance candidat 7,
2A,Corse-du-Sud,2A001,1ère circonscription,52490,33839,"64,47%",18651,"35,53%",33259,"63,36%","98,29%",370,"0,70%","1,09%",210,"0,40%","0,62%",Nom candidat 7,MARCANGELI
2A,Corse-du-Sud,2A002,2ème circonscription,62495,39621,"63,40%",22874,"36,60%",38807,"62,10%","97,95%",470,"0,75%","1,19%",344,"0,55%","0,87%",Nom candidat 7,
2A,Corse-du-Sud,2A001,1ère circonscription,52490,33839,"64,47%",18651,"35,53%",33259,"63,36%","98,29%",370,"0,70%","1,09%",210,"0,40%","0,62%",Prénom candidat 7,Laurent
2A,Corse-du-Sud,2A002,2ème circonscription,62495,39621,"63,40%",22874,"36,60%",38807,"62,10%","97,95%",470,"0,75%","1,19%",344,"0,55%","0,87%",Prénom candidat 7,
2A,Corse-du-Sud,2A001,1ère circonscription,52490,33839,"64,47%",18651,"35,53%",33259,"63,36%","98,29%",370,"0,70%","1,09%",210,"0,40%","0,62%",Sexe candidat 7,MASCULIN
2A,Corse-du-Sud,2A002,2ème circonscription,62495,39621,"63,40%",22874,"36,60%",38807,"62,10%","97,95%",470,"0,75%","1,19%",344,"0,55%","0,87%",Sexe candidat 7,
