id_dep,libDep,id_circo,libCirco,Inscrits,Votants,% Votants,Abstentions,% Abstentions,Exprimés,% Exprimés/inscrits,% Exprimés/votants,Blancs,% Blancs/inscrits,% Blancs/votants,Nuls,% Nuls/inscrits,% Nuls/votants,indicateur,valeur
2B,Haute-Corse,2B002,2ème circonscription,67927,45182,"66,52%",22745,"33,48%",44348,"65,29%","98,15%",454,"0,67%","1,00%",380,"0,56%","0,84%",% Voix/exprimés 3,"34,05%"
2B,Haute-Corse,2B001,1ère circonscription,62114,38553,"62,07%",23561,"37,93%",37690,"60,68%","97,76%",495,"0,80%","1,28%",368,"0,59%","0,95%",Elu 3,
2B,Haute-Corse,2B002,2ème circonscription,67927,45182,"66,52%",22745,"33,48%",44348,"65,29%","98,15%",454,"0,67%","1,00%",380,"0,56%","0,84%",Elu 3,
2B,Haute-Corse,2B001,1ère circonscription,62114,38553,"62,07%",23561,"37,93%",37690,"60,68%","97,76%",495,"0,80%","1,28%",368,"0,59%","0,95%",Numéro de panneau 4,4
2B,Haute-Corse,2B002,2ème circonscription,67927,45182,"66,52%",22745,"33,48%",44348,"65,29%","98,15%",454,"0,67%","1,00%",380,"0,56%","0,84%",Numéro de panneau 4,4
2B,Haute-Corse,2B001,1ère circonscription,62114,38553,"62,07%",23561,"37,93%",37690,"60,68%","97,76%",495,"0,80%","1,28%",368,"0,59%","0,95%",Nuance candidat 4,FI
2B,Haute-Corse,2B002,2ème circonscription,67927,45182,"66,52%",22745,"33,48%",44348,"65,29%","98,15%",454,"0,67%","1,00%",380,"0,56%","0,84%",Nuance candidat 4,EXG
2B,Haute-Corse,2B001,1ère circonscription,62114,38553,"62,07%",23561,"37,93%",37690,"60,68%","97,76%",495,"0,80%","1,28%",368,"0,59%","0,95%",Nom candidat 4,BASTELICA
2B,Haute-Corse,2B002,2ème circonscription,67927,45182,"66,52%",22745,"33,48%",44348,"65,29%","98,15%",454,"0,67%","1,00%",380,"0,56%","0,84%",Nom candidat 4,RONGIONE
2B,Haute-Corse,2B001,1ère circonscription,62114,38553,"62,07%",23561,"37,93%",37690,"60,68%","97,76%",495,"0,80%","1,28%",368,"0,59%","0,95%",Prénom candidat 4,Sacha
2B,Haute-Corse,2B002,2ème circonscription,67927,45182,"66,52%",22745,"33,48%",44348,"65,29%","98,15%",454,"0,67%","1,00%",380,"0,56%","0,84%",Prénom candidat 4,Viviane
2B,Haute-Corse,2B001,1ère circonscription,62114,38553,"62,07%",23561,"37,93%",37690,"60,68%","97,76%",495,"0,80%","1,28%",368,"0,59%","0,95%",Sexe candidat 4,MASCULIN
2B,Haute-Corse,2B002,2ème circonscription,67927,45182,"66,52%",22745,"33,48%",44348,"65,29%","98,15%",454,"0,67%","1,00%",380,"0,56%","0,84%",Sexe candidat 4,FEMININ
2B,Haute-Corse,2B001,1ère circonscription,62114,38553,"62,07%",23561,"37,93%",37690,"60,68%","97,76%",495,"0,80%","1,28%",368,"0,59%","0,95%",Voix 4,3352
2B,Haute-Corse,2B002,2ème circonscription,67927,45182,"66,52%",22745,"33,48%",44348,"65,29%","98,15%",454,"0,67%","1,00%",380,"0,56%","0,84%",Voix 4,280
2B,Haute-Corse,2B001,1ère circonscription,62114,38553,"62,07%",23561,"37,93%",37690,"60,68%","97,76%",495,"0,80%","1,28%",368,"0,59%","0,95%",% Voix/inscrits 4,"5,40%"
2B,Haute-Corse,2B002,2ème circonscription,67927,45182,"66,52%",22745,"33,48%",44348,"65,29%","98,15%",454,"0,67%","1,00%",380,"0,56%","0,84%",% Voix/inscrits 4,"0,41%"
2B,Haute-Corse,2B001,1ère circonscription,62114,38553,"62,07%",23561,"37,93%",37690,"60,68%","97,76%",495,"0,80%","1,28%",368,"0,59%","0,95%",% Voix/exprimés 4,"8,89%"
2B,Haute-Corse,2B002,2ème circonscription,67927,45182,"66,52%",22745,"33,48%",44348,"65,29%","98,15%",454,"0,67%","1,00%",380,"0,56%","0,84%",% Voix/exprimés 4,"0,63%"
2B,Haute-Corse,2B001,1ère circonscription,62114,38553,"62,07%",23561,"37,93%",37690,"60,68%","97,76%",495,"0,80%","1,28%",368,"0,59%","0,95%",Elu 4,
2B,Haute-Corse,2B002,2ème circonscription,67927,45182,"66,52%",22745,"33,48%",44348,"65,29%","98,15%",454,"0,67%","1,00%",380,"0,56%","0,84%",Elu 4,
2B,Haute-Corse,2B001,1ère circonscription,62114,38553,"62,07%",23561,"37,93%",37690,"60,68%","97,76%",495,"0,80%","1,28%",368,"0,59%","0,95%",Numéro de panneau 5,5.0
2B,Haute-Corse,2B002,2ème circonscription,67927,45182,"66,52%",22745,"33,48%",44348,"65,29%","98,15%",454,"0,67%","1,00%",380,"0,56%","0,84%",Numéro de panneau 5,5.0
2B,Haute-Corse,2B001,1ère circonscription,62114,38553,"62,07%",23561,"37,93%",37690,"60,68%","97,76%",495,"0,80%","1,28%",368,"0,59%","0,95%",Nuance candidat 5,DSV
2B,Haute-Corse,2B002,2ème circonscription,67927,45182,"66,52%",22745,"33,48%",44348,"65,29%","98,15%",454,"0,67%","1,00%",380,"0,56%","0,84%",Nuance candidat 5,REG
2B,Haute-Corse,2B001,1ère circonscription,62114,38553,"62,07%",23561,"37,93%",37690,"60,68%","97,76%",495,"0,80%","1,28%",368,"0,59%","0,95%",Nom candidat 5,FERNANDEZ
2B,Haute-Corse,2B002,2ème circonscription,67927,45182,"66,52%",22745,"33,48%",44348,"65,29%","98,15%",454,"0,67%","1,00%",380,"0,56%","0,84%",Nom candidat 5,GIACOMI
2B,Haute-Corse,2B001,1ère circonscription,62114,38553,"62,07%",23561,"37,93%",37690,"60,68%","97,76%",495,"0,80%","1,28%",368,"0,59%","0,95%",Prénom candidat 5,Alexis
2B,Haute-Corse,2B002,2ème circonscription,67927,45182,"66,52%",22745,"33,48%",44348,"65,29%","98,15%",454,"0,67%","1,00%",380,"0,56%","0,84%",Prénom candidat 5,Jean-Antoine
2B,Haute-Corse,2B001,1ère circonscription,62114,38553,"62,07%",23561,"37,93%",37690,"60,68%","97,76%",495,"0,80%","1,28%",368,"0,59%","0,95%",Sexe candidat 5,MASCULIN
2B,Haute-Corse,2B002,2ème circonscription,67927,45182,"66,52%",22745,"33,48%",44348,"65,29%","98,15%",454,"0,67%","1,00%",380,"0,56%","0,84%",Sexe candidat 5,MASCULIN
2B,Haute-Corse,2B001,1ère circonscription,62114,38553,"62,07%",23561,"37,93%",37690,"60,68%","97,76%",495,"0,80%","1,28%",368,"0,59%","0,95%",Voix 5,393.0
2B,Haute-Corse,2B002,2ème circonscription,67927,45182,"66,52%",22745,"33,48%",44348,"65,29%","98,15%",454,"0,67%","1,00%",380,"0,56%","0,84%",Voix 5,0.0
2B,Haute-Corse,2B001,1ère circonscription,62114,38553,"62,07%",23561,"37,93%",37690,"60,68%","97,76%",495,"0,80%","1,28%",368,"0,59%","0,95%",% Voix/inscrits 5,"0,63%"
2B,Haute-Corse,2B002,2ème circonscription,67927,45182,"66,52%",22745,"33,48%",44348,"65,29%","98,15%",454,"0,67%","1,00%",380,"0,56%","0,84%",% Voix/inscrits 5,"0,00%"
2B,Haute-Corse,2B001,1ère circonscription,62114,38553,"62,07%",23561,"37,93%",37690,"60,68%","97,76%",495,"0,80%","1,28%",368,"0,59%","0,95%",% Voix/exprimés 5,"1,04%"
2B,Haute-Corse,2B002,2ème circonscription,67927,45182,"66,52%",22745,"33,48%",44348,"65,29%","98,15%",454,"0,67%","1,00%",380,"0,56%","0,84%",% Voix/exprimés 5,"0,00%"
2B,Haute-Corse,2B001,1ère circonscription,62114,38553,"62,07%",23561,"37,93%",37690,"60,68%","97,76%",495,"0,80%","1,28%",368,"0,59%","0,95%",Elu 5,
2B,Haute-Corse,2B002,2ème circonscription,67927,45182,"66,52%",22745,"33,48%",44348,"65,29%","98,15%",454,"0,67%","1,00%",380,"0,56%","0,84%",Elu 5,
2B,Haute-Corse,2B001,1ère circonscription,62114,38553,"62,07%",23561,"37,93%",37690,"60,68%","97,76%",495,"0,80%","1,28%",368,"0,59%","0,95%",Numéro de panneau 6,6.0
2B,Haute-Corse,2B002,2ème circonscription,67927,45182,"66,52%",22745,"33,48%",44348,"65,29%","98,15%",454,"0,67%","1,00%",380,"0,56%","0,84%",Numéro de panneau 6,6.0
2B,Haute-Corse,2B001,1ère circonscription,62114,38553,"62,07%",23561,"37,93%",37690,"60,68%","97,76%",495,"0,80%","1,28%",368,"0,59%","0,95%",Nuance candidat 6,DVC
2B,Haute-Corse,2B002,2ème circonscription,67927,45182,"66,52%",22745,"33,48%",44348,"65,29%","98,15%",454,"0,67%","1,00%",380,"0,56%","0,84%",Nuance candidat 6,RN
2B,Haute-Corse,2B001,1ère circonscription,62114,38553,"62,07%",23561,"37,93%",37690,"60,68%","97,76%",495,"0,80%","1,28%",368,"0,59%","0,95%",Nom candidat 6,PAOLI
2B,Haute-Corse,2B002,2ème circonscription,67927,45182,"66,52%",22745,"33,48%",44348,"65,29%","98,15%",454,"0,67%","1,00%",380,"0,56%","0,84%",Nom candidat 6,JOUART
2B,Haute-Corse,2B001,1ère circonscription,62114,38553,"62,07%",23561,"37,93%",37690,"60,68%","97,76%",495,"0,80%","1,28%",368,"0,59%","0,95%",Prénom candidat 6,Jean-François
2B,Haute-Corse,2B002,2ème circonscription,67927,45182,"66,52%",22745,"33,48%",44348,"65,29%","98,15%",454,"0,67%","1,00%",380,"0,56%","0,84%",Prénom candidat 6,Sylvie
2B,Haute-Corse,2B001,1ère circonscription,62114,38553,"62,07%",23561,"37,93%",37690,"60,68%","97,76%",495,"0,80%","1,28%",368,"0,59%","0,95%",Sexe candidat 6,MASCULIN
2B,Haute-Corse,2B002,2ème circonscription,67927,45182,"66,52%",22745,"33,48%",44348,"65,29%","98,15%",454,"0,67%","1,00%",380,"0,56%","0,84%",Sexe candidat 6,FEMININ
2B,Haute-Corse,2B001,1ère circonscription,62114,38553,"62,07%",23561,"37,93%",37690,"60,68%","97,76%",495,"0,80%","1,28%",368,"0,59%","0,95%",Voix 6,2045.0
2B,Haute-Corse,2B002,2ème circonscription,67927,45182,"66,52%",22745,"33,48%",44348,"65,29%","98,15%",454,"0,67%","1,00%",380,"0,56%","0,84%",Voix 6,11275.0
2B,Haute-Corse,2B001,1ère circonscription,62114,38553,"62,07%",23561,"37,93%",37690,"60,68%","97,76%",495,"0,80%","1,28%",368,"0,59%","0,95%",% Voix/inscrits 6,"3,29%"
2B,Haute-Corse,2B002,2ème circonscription,67927,45182,"66,52%",22745,"33,48%",44348,"65,29%","98,15%",454,"0,67%","1,00%",380,"0,56%","0,84%",% Voix/inscrits 6,"16,60%"
2B,Haute-Corse,2B001,1ère circonscription,62114,38553,"62,07%",23561,"37,93%",37690,"60,68%","97,76%",495,"0,80%","1,28%",368,"0,59%","0,95%",% Voix/exprimés 6,"5,43%"
2B,Haute-Corse,2B002,2ème circonscription,67927,45182,"66,52%",22745,"33,48%",44348,"65,29%","98,15%",454,"0,67%","1,00%",380,"0,56%","0,84%",% Voix/exprimés 6,"25,42%"
2B,Haute-Corse,2B001,1ère circonscription,62114,38553,"62,07%",23561,"37,93%",37690,"60,68%","97,76%",495,"0,80%","1,28%",368,"0,59%","0,95%",Elu 6,
2B,Haute-Corse,2B002,2ème circonscription,67927,45182,"66,52%",22745,"33,48%",44348,"65,29%","98,15%",454,"0,67%","1,00%",380,"0,56%","0,84%",Elu 6,
2B,Haute-Corse,2B001,1ère circonscription,62114,38553,"62,07%",23561,"37,93%",37690,"60,68%","97,76%",495,"0,80%","1,28%",368,"0,59%","0,95%",Numéro de panneau 7,7.0
2B,Haute-Corse,2B002,2ème circonscription,67927,45182,"66,52%",22745,"33,48%",44348,"65,29%","98,15%",454,"0,67%","1,00%",380,"0,56%","0,84%",Numéro de panneau 7,7.0
2B,Haute-Corse,2B001,1ère circonscription,62114,38553,"62,07%",23561,"37,93%",37690,"60,68%","97,76%",495,"0,80%","1,28%",368,"0,59%","0,95%",Nuance candidat 7,REC
2B,Haute-Corse,2B002,2ème circonscription,67927,45182,"66,52%",22745,"33,48%",44348,"65,29%","98,15%",454,"0,67%","1,00%",380,"0,56%","0,84%",Nuance candidat 7,REG
2B,Haute-Corse,2B001,1ère circonscription,62114,38553,"62,07%",23561,"37,93%",37690,"60,68%","97,76%",495,"0,80%","1,28%",368,"0,59%","0,95%",Nom candidat 7,LAMBERTI
2B,Haute-Corse,2B002,2ème circonscription,67927,45182,"66,52%",22745,"33,48%",44348,"65,29%","98,15%",454,"0,67%","1,00%",380,"0,56%","0,84%",Nom candidat 7,CARLI
2B,Haute-Corse,2B001,1ère circonscription,62114,38553,"62,07%",23561,"37,93%",37690,"60,68%","97,76%",495,"0,80%","1,28%",368,"0,59%","0,95%",Prénom candidat 7,Jean-Michel
